,chi2,p_value
MadeCallToRetentionTeam,215.81551080621784,7.398888143511615e-49
HandsetWebCapable,176.0187055025348,3.5871635133273512e-40
CreditRating,177.48023190699567,1.1632002831343832e-35
HandsetRefurbished,46.72805933126609,8.155290621967346e-12
RespondsToMailOffers,25.051755032054096,5.581193296063218e-07
BuysViaMailOrder,23.202324828706438,1.458209372017431e-06
HasCreditCard,5.7272528767762605,0.016703592667411095
ChildrenInHH,4.405980069428688,0.03581314073450004
