,mean(|SHAP value|)
CreditRating,0.1450670175834209
RespondsToMailOffers,0.09504967024326973
HandsetWebCapable,0.07310579298416377
HandsetRefurbished,0.049478099438033794
BuysViaMailOrder,0.04874712659015598
MadeCallToRetentionTeam,0.0432012758508038
HasCreditCard,0.0419559415885773
ChildrenInHH,0.03808401892010283
